ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1075849763::Parent Entity  [read only],1075849764::Child Entity  [read only],1073742125::Definition,1075849148::Comments
1075839016::326,Electronic Payment Type R/6 Bitcoin,Relationship,FK_Bitcoin_ElectronicPaymentType,FK_Bitcoin_ElectronicPaymentType,ElectronicPaymentType,Bitcoin,,
1075839016::335,Electronic Payment Type R/7 Electronic Payment Card,Relationship,FK_ElectronicPaymentCard_ElectronicPaymentType,FK_ElectronicPaymentCard_ElectronicPaymentType,ElectronicPaymentType,ElectronicPaymentCard,,
1075839016::344,Electronic Payment Card R/8 Gift Card,Relationship,FK_GiftCard_ElectronicPaymentCard,FK_GiftCard_ElectronicPaymentCard,ElectronicPaymentCard,GiftCard,,
1075839016::356,Electronic Payment Card R/9 Credit Card,Relationship,FK_CreditCard_ElectronicPaymentCard,FK_CreditCard_ElectronicPaymentCard,ElectronicPaymentCard,CreditCard,,
1075839016::449,R/15 (Electronic Payment Type to Electronic Payment),Relationship,FK_ElectronicPayment_ElectronicPaymentType,FK_ElectronicPayment_ElectronicPaymentType,ElectronicPaymentType,ElectronicPayment,,
1075839016::584,Person R/20 Star,Relationship,FK_Star_Person,FK_Star_Person,Person,Star,,
1075839016::617,Person R/22 Customer,Relationship,FK_Customer_Person,FK_Customer_Person,Person,Customer,,
1075839016::631,R/23 (Address to Person),Relationship,FK_Person_Address,FK_Person_Address,Address,Person,,
1075839016::786,R/33 (Streaming Service to Streaming Service Subscription),Relationship,FK_StreamingServiceSubscription_StreamingService,FK_StreamingServiceSubscription_StreamingService,StreamingService,StreamingServiceSubscription,,
1075839016::838,R/40 (Star to Movie Star),Relationship,FK_MovieStar_Star,FK_MovieStar_Star,Star,MovieStar,,
1075839016::851,R/41 (Movie to Movie Star),Relationship,FK_MovieStar_Movie,FK_MovieStar_Movie,Movie,MovieStar,,
1075839016::864,R/42 (Customer to Customer Streaming Service Subscription),Relationship,FK_CustomerStreamingServiceSubscription_Customer,FK_CustomerStreamingServiceSubscription_Customer,Customer,CustomerStreamingServiceSubscription,,
1075839016::877,R/43 (Streaming Service Subscription to Customer Streaming Service Subscription),Relationship,FK_CustomerStreamingServiceSubscription_StreamingServiceSubscription,FK_CustomerStreamingServiceSubscription_StreamingServiceSubscription,StreamingServiceSubscription,CustomerStreamingServiceSubscription,,
1075839016::899,R/45 (Electronic Payment to Customer Electronic Payment),Relationship,FK_CustomerElectronicPayment_ElectronicPayment,FK_CustomerElectronicPayment_ElectronicPayment,ElectronicPayment,CustomerElectronicPayment,,
1075839016::907,R/46 (Customer to Customer Electronic Payment),Relationship,FK_CustomerElectronicPayment_Customer,FK_CustomerElectronicPayment_Customer,Customer,CustomerElectronicPayment,,
1075839016::1043,R/59 (Customer Streaming Service Subscription to Movie Customer Streaming Service Subscription),Relationship,FK_MovieCustomerStreamingServiceSubscription_CustomerStreamingServiceSubscription,FK_MovieCustomerStreamingServiceSubscription_CustomerStreamingServiceSubscription,CustomerStreamingServiceSubscription,MovieCustomerStreamingServiceSubscription,,
1075839016::1052,R/60 (Movie to Movie Customer Streaming Service Subscription),Relationship,FK_MovieCustomerStreamingServiceSubscription_Movie,FK_MovieCustomerStreamingServiceSubscription_Movie,Movie,MovieCustomerStreamingServiceSubscription,,
